"County","State","Trump_Votes","Trump_Percent","Biden_Votes","Biden_Percent","Other_Votes","Other_Percent","Total_Votes"
"Hansford","Texas",1849,90.33,166,8.11,32,1.56,2047
"Hardeman","Texas",1330,84.18,241,15.25,9,0.57,1580
"Hardin","Texas",23858,86.33,3474,12.57,303,1.1,27635
"Harris","Texas",700630,42.69,918193,55.94,22434,1.37,1641257
"Harrison","Texas",21466,72.23,7908,26.61,343,1.16,29717
"Hartley","Texas",1868,89.89,195,9.38,15,0.73,2078
"Haskell","Texas",1840,83.11,353,15.94,21,0.95,2214
"Hays","Texas",47680,43.59,59524,54.41,2191,2,109395
"Hemphill","Texas",1486,86.4,206,11.98,28,1.62,1720
"Henderson","Texas",28911,79.61,7060,19.44,346,0.95,36317
"Hidalgo","Texas",90527,40.98,128199,58.04,2158,0.98,220884
"Hill","Texas",11926,79.87,2860,19.15,145,0.98,14931
"Hockley","Texas",6536,80.69,1482,18.3,82,1.01,8100
"Hood","Texas",26496,81.42,5648,17.36,397,1.22,32541
"Hopkins","Texas",12719,79.79,3046,19.11,176,1.1,15941
"Houston","Texas",7060,74.8,2314,24.52,64,0.68,9438
"Howard","Texas",8054,78.64,2069,20.2,118,1.16,10241
"Hudspeth","Texas",779,66.87,371,31.85,15,1.28,1165
"Hunt","Texas",29163,75.56,8906,23.07,528,1.37,38597
"Hutchinson","Texas",7681,87.55,965,11,127,1.45,8773
"Irion","Texas",759,85.38,120,13.5,10,1.12,889
"Jack","Texas",3418,90.38,331,8.75,33,0.87,3782
"Jackson","Texas",5231,82.34,1033,16.26,89,1.4,6353
"Jasper","Texas",12542,80.34,2954,18.92,115,0.74,15611
"Jeff Davis","Texas",784,60.08,501,38.39,20,1.53,1305
"Jefferson","Texas",47570,50.2,46073,48.62,1116,1.18,94759
"Jim Hogg","Texas",833,40.91,1197,58.79,6,0.3,2036
"Jim Wells","Texas",7453,54.52,6119,44.77,97,0.71,13669
"Johnson","Texas",54628,75.85,16464,22.86,928,1.29,72020
"Jones","Texas",5660,83.96,999,14.82,82,1.22,6741
"Karnes","Texas",3968,75.55,1234,23.5,50,0.95,5252
"Kaufman","Texas",37624,66.34,18405,32.45,689,1.21,56718
"Kendall","Texas",20083,75.92,6020,22.76,349,1.32,26452
"Kenedy","Texas",127,65.46,65,33.51,2,1.03,194
"Kent","Texas",411,88.96,47,10.17,4,0.87,462
"Kerr","Texas",20879,75.25,6524,23.51,342,1.24,27745
"Kimble","Texas",1987,86.69,284,12.39,21,0.92,2292
"King","Texas",151,94.97,8,5.03,0,0,159
"Kinney","Texas",1144,71.37,446,27.82,13,0.81,1603
"Kleberg","Texas",5504,50.29,5314,48.56,126,1.15,10944
"Knox","Texas",1180,81.04,265,18.2,11,0.76,1456
"Lamar","Texas",16760,78.16,4458,20.79,224,1.05,21442
"Lamb","Texas",3521,79.84,840,19.05,49,1.11,4410
"Lampasas","Texas",8086,77.76,2144,20.62,169,1.62,10399
"La Salle","Texas",1335,55.49,1052,43.72,19,0.79,2406
"Lavaca","Texas",8804,86.34,1333,13.07,60,0.59,10197
"Lee","Texas",6255,77.22,1750,21.6,95,1.18,8100
"Leon","Texas",7523,86.62,1072,12.34,90,1.04,8685
"Liberty","Texas",23302,79.44,5785,19.72,247,0.84,29334
"Limestone","Texas",6789,74.65,2213,24.33,93,1.02,9095
"Lipscomb","Texas",1205,89.06,131,9.68,17,1.26,1353
"Live Oak","Texas",4199,83.08,819,16.2,36,0.72,5054
"Llano","Texas",10079,79.61,2465,19.47,116,0.92,12660
"Loving","Texas",60,90.91,4,6.06,2,3.03,66
"Lubbock","Texas",78861,65.27,40017,33.12,1939,1.61,120817
"Lynn","Texas",1853,80.81,428,18.67,12,0.52,2293
"Madison","Texas",4169,78.69,1088,20.54,41,0.77,5298
"Marion","Texas",3470,71.34,1339,27.53,55,1.13,4864
"Martin","Texas",1857,85.97,288,13.33,15,0.7,2160
"Mason","Texas",1991,80.48,457,18.47,26,1.05,2474
"Matagorda","Texas",9845,71.72,3733,27.19,149,1.09,13727
"Maverick","Texas",6881,44.84,8332,54.29,133,0.87,15346
"McCulloch","Texas",2904,84.52,490,14.26,42,1.22,3436
"McLennan","Texas",59543,60.84,36688,37.49,1641,1.67,97872
"McMullen","Texas",460,89.15,53,10.27,3,0.58,516
"Medina","Texas",15642,69.04,6773,29.89,242,1.07,22657
"Menard","Texas",823,80.06,197,19.16,8,0.78,1028
"Midland","Texas",45624,77.34,12329,20.9,1035,1.76,58988
"Milam","Texas",7984,75.48,2496,23.6,98,0.92,10578
"Mills","Texas",2217,88.5,271,10.82,17,0.68,2505
"Mitchell","Texas",2170,84.14,397,15.39,12,0.47,2579
"Montague","Texas",8615,87.74,1097,11.17,107,1.09,9819
"Montgomery","Texas",193382,71.22,74377,27.39,3784,1.39,271543
"Moore","Texas",4359,79.14,1062,19.28,87,1.58,5508
"Morris","Texas",3872,69.3,1669,29.87,46,0.83,5587
"Motley","Texas",604,92.64,46,7.06,2,0.3,652
"Nacogdoches","Texas",17378,64.88,9000,33.6,407,1.52,26785
"Navarro","Texas",13800,72.16,5101,26.67,222,1.17,19123
"Newton","Texas",4882,80.11,1173,19.25,39,0.64,6094
"Nolan","Texas",4131,77.11,1162,21.69,64,1.2,5357
"Nueces","Texas",64617,50.75,60925,47.85,1780,1.4,127322
"Ochiltree","Texas",2812,89.1,302,9.57,42,1.33,3156
"Oldham","Texas",917,90.88,81,8.03,11,1.09,1009
"Orange","Texas",29186,81.09,6357,17.66,451,1.25,35994
"Palo Pinto","Texas",10179,81.5,2178,17.44,132,1.06,12489
"Panola","Texas",9326,81.44,2057,17.96,68,0.6,11451
"Parker","Texas",62045,81.5,13017,17.1,1066,1.4,76128
"Parmer","Texas",2135,80.57,488,18.42,27,1.01,2650
"Pecos","Texas",3215,68.87,1382,29.61,71,1.52,4668
"Polk","Texas",18573,76.79,5387,22.27,226,0.94,24186
"Potter","Texas",22820,68.45,9921,29.76,596,1.79,33337
"Presidio","Texas",721,32.52,1463,65.99,33,1.49,2217
"Rains","Texas",5155,85.16,842,13.91,56,0.93,6053
"Randall","Texas",50796,78.54,12802,19.79,1076,1.67,64674
"Reagan","Texas",942,83.81,172,15.3,10,0.89,1124
"Real","Texas",1643,82.9,320,16.15,19,0.95,1982
"Red River","Texas",4517,77.8,1246,21.46,43,0.74,5806
"Reeves","Texas",2254,61.1,1395,37.82,40,1.08,3689
"Refugio","Texas",2210,65.66,1108,32.92,48,1.42,3366
"Roberts","Texas",529,96.18,17,3.09,4,0.73,550
"Robertson","Texas",5646,69.71,2374,29.31,79,0.98,8099
"Rockwall","Texas",36726,68.15,16412,30.45,753,1.4,53891
"Runnels","Texas",3807,86.35,552,12.52,50,1.13,4409
"Rusk","Texas",16534,77.34,4629,21.65,214,1.01,21377
"Sabine","Texas",4784,87.12,669,12.18,38,0.7,5491
"San Augustine","Texas",3007,75.14,980,24.49,15,0.37,4002
"San Jacinto","Texas",10161,80.39,2337,18.49,142,1.12,12640
"San Patricio","Texas",16516,63.79,8988,34.71,387,1.5,25891
"San Saba","Texas",2308,88.7,287,11.03,7,0.27,2602
"Schleicher","Texas",940,81.1,211,18.21,8,0.69,1159
"Scurry","Texas",4983,84.89,818,13.94,69,1.17,5870
"Shackelford","Texas",1484,91.15,130,7.99,14,0.86,1628
"Shelby","Texas",7975,79.06,2068,20.5,44,0.44,10087
"Sherman","Texas",886,89.31,91,9.17,15,1.52,992
