"County","State","Trump_Votes","Trump_Percent","Biden_Votes","Biden_Percent","Other_Votes","Other_Percent","Total_Votes"
"Giles","Virginia",6876,74.93,2156,23.5,144,1.57,9176
"Gloucester","Virginia",14875,66.76,6964,31.25,443,1.99,22282
"Goochland","Virginia",9966,58.8,6685,39.44,299,1.76,16950
"Grayson","Virginia",6529,80.3,1535,18.88,67,0.82,8131
"Greene","Virginia",6866,60.7,4163,36.8,282,2.5,11311
"Greensville","Virginia",1914,41.85,2627,57.43,33,0.72,4574
"Halifax","Virginia",10418,57.09,7666,42.01,164,0.9,18248
"Hampton","Virginia",18430,27.97,46220,70.14,1251,1.89,65901
"Hanover","Virginia",44318,62.45,25307,35.66,1342,1.89,70967
"Harrisonburg","Virginia",5591,32.72,11022,64.51,473,2.77,17086
"Henrico","Virginia",63440,34.64,116572,63.65,3140,1.71,183152
"Henry","Virginia",16725,64.07,9127,34.96,253,0.97,26105
"Highland","Virginia",1092,71.23,417,27.2,24,1.57,1533
"Hopewell","Virginia",4020,41.84,5430,56.52,158,1.64,9608
"Isle of Wight","Virginia",13707,58.44,9399,40.07,350,1.49,23456
"James City","Virginia",23153,46.66,25553,51.5,916,1.84,49622
"King and Queen","Virginia",2450,59.54,1590,38.64,75,1.82,4115
"King George","Virginia",8446,59.38,5404,37.99,374,2.63,14224
"King William","Virginia",7320,68.18,3260,30.37,156,1.45,10736
"Lancaster","Virginia",3697,51.69,3368,47.09,87,1.22,7152
"Lee","Virginia",8365,84.1,1489,14.97,92,0.93,9946
"Lexington","Virginia",906,32.8,1791,64.84,65,2.36,2762
"Loudoun","Virginia",82088,36.51,138372,61.54,4402,1.95,224862
"Louisa","Virginia",13294,60.66,8269,37.73,352,1.61,21915
"Lunenburg","Virginia",3537,58.95,2418,40.3,45,0.75,6000
"Lynchburg","Virginia",17097,47.02,18048,49.63,1218,3.35,36363
"Madison","Virginia",5300,65.2,2698,33.19,131,1.61,8129
"Manassas","Virginia",6256,36.87,10356,61.03,356,2.1,16968
"Manassas Park","Virginia",1979,32.51,3992,65.58,116,1.91,6087
"Martinsville","Virginia",2165,36.01,3766,62.63,82,1.36,6013
"Mathews","Virginia",3901,66.96,1825,31.33,100,1.71,5826
"Mecklenburg","Virginia",9266,57.18,6803,41.98,135,0.84,16204
"Middlesex","Virginia",4196,61.84,2491,36.71,98,1.45,6785
"Montgomery","Virginia",20629,45.8,23218,51.55,1190,2.65,45037
"Nelson","Virginia",4812,51.65,4327,46.45,177,1.9,9316
"New Kent","Virginia",9631,66.59,4621,31.95,211,1.46,14463
"Newport News","Virginia",26377,32.48,53099,65.39,1727,2.13,81203
"Norfolk","Virginia",23443,26.08,64440,71.69,1998,2.23,89881
"Northampton","Virginia",2955,43.89,3667,54.47,110,1.64,6732
"Northumberland","Virginia",4485,57.39,3252,41.61,78,1,7815
"Norton","Virginia",1109,69.27,464,28.98,28,1.75,1601
"Nottoway","Virginia",4027,56.89,2971,41.98,80,1.13,7078
"Orange","Virginia",12426,59.91,7995,38.54,321,1.55,20742
"Page","Virginia",9345,74.68,3007,24.03,162,1.29,12514
"Patrick","Virginia",7485,78.51,1954,20.5,95,0.99,9534
"Petersburg","Virginia",1584,11.22,12389,87.75,145,1.03,14118
"Pittsylvania","Virginia",23751,69.39,10115,29.55,361,1.06,34227
"Poquoson","Virginia",5605,71.34,2054,26.14,198,2.52,7857
"Portsmouth","Virginia",12755,28.61,30948,69.42,879,1.97,44582
"Powhatan","Virginia",14055,71.24,5320,26.96,355,1.8,19730
"Prince Edward","Virginia",4434,46.31,4973,51.94,167,1.75,9574
"Prince George","Virginia",10103,57.96,7103,40.75,226,1.29,17432
"Prince William","Virginia",81222,35.61,142863,62.64,3971,1.74,228056
"Pulaski","Virginia",12127,69.79,4925,28.34,324,1.87,17376
"Radford","Virginia",2786,44.08,3358,53.13,176,2.79,6320
"Rappahannock","Virginia",2812,56.49,2096,42.11,70,1.4,4978
"Richmond","Virginia",2547,62.09,1513,36.88,42,1.03,4102
"Richmond City","Virginia",16603,14.94,92175,82.92,2381,2.14,111159
"Roanoke","Virginia",34268,59.93,21801,38.12,1115,1.95,57184
"Roanoke City","Virginia",15607,36.02,26773,61.8,943,2.18,43323
"Rockbridge","Virginia",8088,65.37,4086,33.02,199,1.61,12373
"Rockingham","Virginia",30349,69.27,12644,28.86,818,1.87,43811
"Russell","Virginia",10879,81.27,2373,17.73,134,1,13386
"Salem","Virginia",7683,58.87,5148,39.45,220,1.68,13051
"Scott","Virginia",9063,83.38,1692,15.57,114,1.05,10869
"Shenandoah","Virginia",16463,69.51,6836,28.86,385,1.63,23684
"Smyth","Virginia",10963,77.55,3008,21.28,165,1.17,14136
"Southampton","Virginia",5730,58.55,3969,40.56,87,0.89,9786
"Spotsylvania","Virginia",39411,52.33,34307,45.55,1599,2.12,75317
"Stafford","Virginia",37636,47.27,40245,50.54,1744,2.19,79625
"Staunton","Virginia",5695,43.84,6981,53.74,314,2.42,12990
"Suffolk","Virginia",20082,40.45,28676,57.77,884,1.78,49642
"Surry","Virginia",2025,45.29,2397,53.61,49,1.1,4471
"Sussex","Virginia",2219,43.61,2827,55.56,42,0.83,5088
"Tazewell","Virginia",16731,83.1,3205,15.92,198,0.98,20134
"Virginia Beach","Virginia",105087,46.18,117393,51.59,5081,2.23,227561
"Warren","Virginia",14069,66.53,6603,31.22,475,2.25,21147
"Washington","Virginia",21679,75.58,6617,23.07,389,1.35,28685
"Waynesboro","Virginia",5507,51.39,4961,46.29,249,2.32,10717
"Westmoreland","Virginia",5318,53.54,4501,45.31,114,1.15,9933
"Williamsburg","Virginia",1963,28.52,4790,69.59,130,1.89,6883
"Winchester","Virginia",5221,43.13,6610,54.6,275,2.27,12106
"Wise","Virginia",13366,80.45,3110,18.72,139,0.83,16615
"Wythe","Virginia",11733,77.85,3143,20.85,196,1.3,15072
"York","Virginia",20241,52.19,17683,45.59,863,2.22,38787
"Barbour","West Virginia",5116,76.62,1457,21.82,104,1.56,6677
"Berkeley","West Virginia",33279,64.57,17186,33.35,1074,2.08,51539
"Boone","West Virginia",6816,75.62,2041,22.65,156,1.73,9013
"Braxton","West Virginia",4120,72.74,1457,25.72,87,1.54,5664
"Brooke","West Virginia",7545,70.81,2947,27.66,164,1.53,10656
"Cabell","West Virginia",21721,58.14,14994,40.13,645,1.73,37360
"Calhoun","West Virginia",2364,79.57,568,19.12,39,1.31,2971
"Clay","West Virginia",2679,79.61,641,19.05,45,1.34,3365
"Doddridge","West Virginia",2619,84.46,435,14.03,47,1.51,3101
"Fayette","West Virginia",11580,68.64,5063,30.01,227,1.35,16870
"Gilmer","West Virginia",2012,75.58,599,22.5,51,1.92,2662
"Grant","West Virginia",4871,88.4,607,11.02,32,0.58,5510
"Greenbrier","West Virginia",10925,68.93,4655,29.37,270,1.7,15850
"Hampshire","West Virginia",8033,79.65,1939,19.22,114,1.13,10086
"Hancock","West Virginia",9806,71.05,3790,27.46,206,1.49,13802
"Hardy","West Virginia",4859,76.73,1381,21.81,93,1.46,6333
"Harrison","West Virginia",20683,67.89,9215,30.25,567,1.86,30465
"Jackson","West Virginia",10093,74.71,3207,23.74,209,1.55,13509
"Jefferson","West Virginia",15033,54.26,12127,43.77,545,1.97,27705
"Kanawha","West Virginia",46398,56.41,34344,41.76,1508,1.83,82250
"Lewis","West Virginia",5782,77.52,1538,20.62,139,1.86,7459
"Lincoln","West Virginia",6012,76.77,1711,21.85,108,1.38,7831
"Logan","West Virginia",10534,80.87,2333,17.91,159,1.22,13026
"Marion","West Virginia",16300,63.18,8901,34.5,598,2.32,25799
"Marshall","West Virginia",10435,74.11,3455,24.54,190,1.35,14080
"Mason","West Virginia",8491,75.77,2526,22.54,189,1.69,11206
"McDowell","West Virginia",5148,78.87,1333,20.42,46,0.71,6527
"Mercer","West Virginia",19237,76.53,5556,22.1,342,1.37,25135
"Mineral","West Virginia",10040,77.97,2660,20.66,176,1.37,12876
"Mingo","West Virginia",8544,85.22,1397,13.93,85,0.85,10026
"Monongalia","West Virginia",20803,49.44,20282,48.2,994,2.36,42079
"Monroe","West Virginia",5068,78.09,1345,20.72,77,1.19,6490
"Morgan","West Virginia",6537,75.17,1998,22.98,161,1.85,8696
"Nicholas","West Virginia",8279,77.86,2226,20.93,128,1.21,10633
"Ohio","West Virginia",12354,62.08,7223,36.3,323,1.62,19900
"Pendleton","West Virginia",2782,76.03,820,22.41,57,1.56,3659
"Pleasants","West Virginia",2742,78.54,699,20.02,50,1.44,3491
"Pocahontas","West Virginia",2895,72.21,1047,26.12,67,1.57,4009
"Preston","West Virginia",11190,76.79,3163,21.7,220,1.51,14573
"Putnam","West Virginia",20034,70.29,7878,27.64,589,2.07,28501
"Raleigh","West Virginia",24673,74.51,7982,24.1,459,1.39,33114
"Randolph","West Virginia",8673,71.09,3362,27.56,165,1.35,12200
"Ritchie","West Virginia",3649,85.2,586,13.68,48,1.12,4283
"Roane","West Virginia",4213,73.1,1455,25.25,95,1.65,5763
"Summers","West Virginia",4074,72.95,1448,25.93,63,1.12,5585
"Taylor","West Virginia",5477,74.18,1796,24.33,110,1.49,7383
"Tucker","West Virginia",2841,73.89,938,24.4,66,1.71,3845
"Tyler","West Virginia",3226,82.23,631,16.08,66,1.69,3923
"Upshur","West Virginia",7771,76.01,2256,22.07,196,1.92,10223
"Wayne","West Virginia",12585,74.26,4088,24.12,274,1.62,16947
"Webster","West Virginia",2759,81.1,610,17.93,33,0.97,3402
"Wetzel","West Virginia",4993,74.87,1539,23.08,137,2.05,6669
"Wirt","West Virginia",2134,80.44,466,17.57,53,1.99,2653
"Wood","West Virginia",27202,70.17,10926,28.19,637,1.64,38765
"Wyoming","West Virginia",7353,85.58,1157,13.47,82,0.95,8592
"Adams","Wisconsin",7362,62.29,4329,36.63,127,1.08,11818
"Ashland","Wisconsin",3841,43.86,4801,54.82,115,1.32,8757
"Barron","Wisconsin",15803,62.35,9194,36.27,349,1.38,25346
"Bayfield","Wisconsin",4617,42.44,6147,56.5,116,1.06,10880
"Brown","Wisconsin",75871,52.68,65511,45.49,2635,1.83,144017
"Buffalo","Wisconsin",4834,61.85,2860,36.59,122,1.56,7816
"Burnett","Wisconsin",6462,63.72,3569,35.19,110,1.09,10141
"Calumet","Wisconsin",18156,59,12116,39.37,502,1.63,30774
"Chippewa","Wisconsin",21317,59.32,13983,38.91,638,1.77,35938
"Clark","Wisconsin",10002,67.14,4524,30.37,372,2.49,14898
"Columbia","Wisconsin",16927,49.98,16410,48.45,532,1.57,33869
"Crawford","Wisconsin",4620,53.13,3953,45.46,122,1.41,8695
"Dane","Wisconsin",78794,22.86,260121,75.46,5813,1.68,344728
"Dodge","Wisconsin",31355,64.73,16356,33.77,725,1.5,48436
"Door","Wisconsin",9752,48.48,10044,49.93,321,1.59,20117
"Douglas","Wisconsin",10923,44.26,13218,53.56,536,2.18,24677
"Dunn","Wisconsin",13173,56,9897,42.07,454,1.93,23524
"Eau Claire","Wisconsin",25341,43.49,31620,54.26,1314,2.25,58275
"Florence","Wisconsin",2133,72.55,781,26.56,26,0.89,2940
"Fond du Lac","Wisconsin",35754,62.45,20588,35.96,909,1.59,57251
"Forest","Wisconsin",3285,65.01,1721,34.06,47,0.93,5053
"Grant","Wisconsin",14142,55.22,10998,42.95,468,1.83,25608
"Green","Wisconsin",10169,47.51,10851,50.69,386,1.8,21406
"Green Lake","Wisconsin",7168,67.17,3344,31.34,159,1.49,10671
"Iowa","Wisconsin",5909,42.23,7828,55.95,255,1.82,13992
"Iron","Wisconsin",2438,60.8,1533,38.23,39,0.97,4010
"Jackson","Wisconsin",5791,56.86,4256,41.79,137,1.35,10184
"Jefferson","Wisconsin",27208,56.71,19904,41.48,867,1.81,47979
"Juneau","Wisconsin",8749,63.82,4746,34.62,214,1.56,13709
"Kenosha","Wisconsin",44972,50.68,42193,47.55,1573,1.77,88738
"Kewaunee","Wisconsin",7927,65.54,3976,32.87,192,1.59,12095
"La Crosse","Wisconsin",28684,42.25,37846,55.75,1354,2,67884
"Lafayette","Wisconsin",4821,56.35,3647,42.63,87,1.02,8555
"Langlade","Wisconsin",7330,65.65,3704,33.18,131,1.17,11165
"Lincoln","Wisconsin",10017,60.72,6261,37.95,219,1.33,16497
"Manitowoc","Wisconsin",27218,60.72,16818,37.52,793,1.76,44829
"Marathon","Wisconsin",44624,58.14,30808,40.14,1319,1.72,76751
"Marinette","Wisconsin",15304,66.6,7366,32.06,309,1.34,22979
"Marquette","Wisconsin",5719,63.09,3239,35.73,107,1.18,9065
"Menominee","Wisconsin",278,17.48,1303,81.95,9,0.57,1590
"Milwaukee","Wisconsin",134482,29.25,317527,69.07,7714,1.68,459723
"Monroe","Wisconsin",13775,60.92,8433,37.3,403,1.78,22611
"Oconto","Wisconsin",16226,69.89,6715,28.93,274,1.18,23215
"Oneida","Wisconsin",13671,56.59,10105,41.83,383,1.58,24159
"Outagamie","Wisconsin",58385,54.05,47667,44.13,1970,1.82,108022
"Ozaukee","Wisconsin",33912,55.15,26517,43.13,1057,1.72,61486
"Pepin","Wisconsin",2584,62.36,1489,35.93,71,1.71,4144
"Pierce","Wisconsin",12815,54.96,9796,42.01,706,3.03,23317
"Polk","Wisconsin",16611,62.99,9370,35.53,390,1.48,26371
"Portage","Wisconsin",19299,47.53,20428,50.31,876,2.16,40603
"Price","Wisconsin",5394,63.12,3032,35.48,120,1.4,8546
"Racine","Wisconsin",54479,51.18,50159,47.12,1813,1.7,106451
"Richland","Wisconsin",4871,54.04,3995,44.32,148,1.64,9014
"Rock","Wisconsin",37138,43.51,46658,54.66,1564,1.83,85360
"Rusk","Wisconsin",5257,66.66,2517,31.92,112,1.42,7886
"Sauk","Wisconsin",17493,48.32,18108,50.02,602,1.66,36203
"Sawyer","Wisconsin",5909,56.22,4498,42.8,103,0.98,10510
"Shawano","Wisconsin",15173,67.09,7131,31.53,311,1.38,22615
"Sheboygan","Wisconsin",37609,56.97,27101,41.06,1301,1.97,66011
"St. Croix","Wisconsin",32199,56.78,23190,40.89,1318,2.33,56707
"Taylor","Wisconsin",7657,71.65,2693,25.2,336,3.15,10686
"Trempealeau","Wisconsin",8833,57.43,6285,40.86,262,1.71,15380
"Vernon","Wisconsin",8218,51.61,7457,46.83,248,1.56,15923
"Vilas","Wisconsin",9261,60.26,5903,38.41,205,1.33,15369
"Walworth","Wisconsin",33851,58.77,22789,39.56,960,1.67,57600
"Washburn","Wisconsin",6334,61.03,3867,37.26,177,1.71,10378
"Washington","Wisconsin",60237,68.4,26650,30.26,1183,1.34,88070
"Waukesha","Wisconsin",159649,59.57,103906,38.77,4441,1.66,267996
"Waupaca","Wisconsin",18952,65.06,9703,33.31,475,1.63,29310
"Waushara","Wisconsin",9016,66.45,4388,32.34,164,1.21,13568
"Winnebago","Wisconsin",47796,50.83,44060,46.86,2176,2.31,94032
"Wood","Wisconsin",24308,58.86,16365,39.63,625,1.51,41298
"Albany","Wyoming",8579,46.08,9092,48.84,946,5.09,18617
"Big Horn","Wyoming",4806,83.55,788,13.7,158,2.75,5752
"Campbell","Wyoming",16975,86.76,1935,9.89,656,3.35,19566
"Carbon","Wyoming",5014,75.24,1427,21.41,223,3.35,6664
"Converse","Wyoming",5917,84.89,861,12.35,192,2.76,6970
"Crook","Wyoming",3651,88.64,378,9.18,90,2.18,4119
"Fremont","Wyoming",12007,66.3,5519,30.47,585,3.23,18111
"Goshen","Wyoming",4878,78.16,1203,19.28,160,2.57,6241
"Hot Springs","Wyoming",1999,77.57,482,18.7,96,3.73,2577
"Johnson","Wyoming",3881,78.98,897,18.25,136,2.77,4914
"Laramie","Wyoming",27891,62,15217,33.83,1874,4.16,44982
"Lincoln","Wyoming",8643,82.57,1509,14.42,316,3.03,10468
"Natrona","Wyoming",25271,71.79,8530,24.23,1401,3.98,35202
"Niobrara","Wyoming",1118,85.47,155,11.85,35,2.68,1308
"Park","Wyoming",12813,76.65,3410,20.4,494,2.96,16717
"Platte","Wyoming",3898,79.18,890,18.08,135,2.75,4923
"Sheridan","Wyoming",11843,72.09,4043,24.61,542,3.29,16428
"Sublette","Wyoming",3957,79.62,882,17.75,131,2.63,4970
"Sweetwater","Wyoming",12229,73.66,3823,23.03,551,3.32,16603
"Teton","Wyoming",4341,29.58,9848,67.1,488,3.33,14677
"Uinta","Wyoming",7496,79.73,1591,16.92,315,3.35,9402
"Washakie","Wyoming",3245,80.88,651,16.23,116,2.89,4012
"Weston","Wyoming",3107,87.72,360,10.16,75,2.11,3542
